Name,Version Count
genvalidity-hspec-cereal,8
genvalidity-hspec-hashable,8
genvalidity-hspec-optics,5
genvalidity-path,10
genvalidity-property,11
genvalidity-scientific,6
genvalidity-text,14
genvalidity-time,12
genvalidity-unordered-containers,8
genvalidity-uuid,5
genvalidity-vector,8
geojson,19
getopt-generics,28
ghc,8
ghc-boot,12
ghc-boot-th,12
ghc-compact,1
ghc-core,15
ghc-exactprint,30
ghci,11
ghcid,38
ghci-hexcalc,4
ghcjs-codemirror,2
ghc-lib,26
ghc-lib-parser,23
ghc-parser,13
ghc-paths,11
ghc-prim,7
ghc-prof,19
ghc-syntax-highlighter,7
ghc-tcplugins-extra,12
ghc-typelits-extra,16
ghc-typelits-knownnat,18
ghc-typelits-natnormalise,32
ghost-buster,1
gi-atk,30
gi-cairo,31
gi-gdk,33
gi-gdkpixbuf,32
gi-gio,36
gi-glib,36
gi-gobject,32
gi-gtk,44
gi-gtk-hs,17
gi-gtksource,23
gi-javascriptcore,51
ginger,54
gingersnap,18
gi-pango,32
githash,8
github-release,31
github-types,8
github-webhooks,6
gitrev,5
gi-vte,34
gl,26
glabrous,22
glaze,5
glazier,14
GLFW-b,44
Glob,31
gloss,55
gloss-algorithms,9
gloss-examples,48
gloss-raster,30
gloss-rendering,14
GLURaw,17
GLUT,36
gnuplot,31
google-isbn,8
google-oauth2-jwt,12
gpolyline,2
graph-core,6
graphite,25
graphs,18
graphviz,49
graph-wrapper,15
gravatar,11
graylog,2
greskell,13
greskell-core,12
greskell-websocket,6
groom,4
groundhog,30
groundhog-inspector,11
groundhog-mysql,19
groundhog-postgresql,29
groundhog-sqlite,24
groundhog-th,29
group-by-date,6
grouped-list,13
groups,7
guarded-allocation,2
gym-http-api,2
H,4
hackage-db,17
hackage-security,12
haddock-library,17
hadolint,38
half,10
hamilton,4
hamtsolo,4
HandsomeSoup,10
hapistrano,39
happy,27
hasbolt,26
hashable,34
hashable-time,5
hashids,5
hashmap,15
hashtables,27
haskeline,52
haskell-gi,34
haskell-gi-base,37
haskell-gi-overloading,2
haskell-lexer,4
haskell-lsp,29
haskell-lsp-types,25
haskell-names,36
haskell-spacegoo,3
haskell-src,10
haskell-src-exts,89
haskell-src-exts-util,9
haskell-src-meta,47
haskey-btree,6
haskintex,18
haskoin-core,28
hasql,70
hasql-optparse-applicative,13
hasql-pool,12
hasql-transaction,24
hasty-hamiltonian,9
HaTeX,49
haxl,13
hbeanstalk,6
HCodecs,14
hdaemonize,19
HDBC,25
HDBC-mysql,20
HDBC-session,7
heap,16
heaps,14
hebrew-time,7
hedgehog,16
hedgehog-corpus,2
hedgehog-fn,3
hedis,68
hedn,15
here,16
heredoc,3
heterocephalus,16
hex,3
hexml,7
hexml-lens,4
hexpat,46
hexstring,4
hformat,8
hfsevents,7
hidapi,6
hidden-char,3
hi-file-parser,1
higher-leveldb,16
highlighting-kate,64
hinfo,3
hinotify,16
hint,36
hjsmin,38
hkgr,15
hledger,79
hledger-iadd,24
hledger-interest,13
hledger-lib,67
hledger-ui,38
hledger-web,70
hlibgit2,31
hlibsass,14
hlint,189
hmatrix,58
hmatrix-backprop,9
hmatrix-gsl,9
hmatrix-gsl-stats,37
hmatrix-morpheus,6
hmatrix-vector-sized,8
hmm-lapack,5
hmpfr,23
hoauth2,63
Hoed,16
hoogle,92
hOpenPGP,81
hopenpgp-tools,49
hopenssl,16
hopfli,5
hosc,21
hostname,1
hostname-validate,1
hourglass,16
hourglass-orphans,1
hp2pretty,11
hpack,65
hpack-dhall,7
hpc,13
hquantlib-time,3
hreader,8
hreader-lens,4
hruby,35
hsass,10
hs-bibutils,20
hsc2hs,8
hschema,2
hschema-aeson,2
hschema-prettyprinter,2
hschema-quickcheck,2
hscolour,26
hsdev,70
hsdns,13
hsebaysdk,6
hsemail,18
hset,12
HSet,2
hsexif,29
hs-functors,8
hs-GeoIP,3
hsini,11
hsinstall,12
HSlippyMap,16
hslogger,28
hslua,37
hslua-aeson,9
hslua-module-system,4
hslua-module-text,6
HsOpenSSL,69
HsOpenSSL-x509-system,4
hsp,18
hspec,117
hspec-attoparsec,3
hspec-checkers,3
hspec-contrib,8
hspec-core,45
hspec-discover,55
hspec-expectations,21
hspec-expectations-lifted,4
hspec-expectations-pretty-diff,5
hspec-golden-aeson,13
hspec-leancheck,3
hspec-megaparsec,11
hspec-meta,47
hspec-need-env,5
hspec-pg-transact,3
hspec-smallcheck,9
hspec-wai,24
hspec-wai-json,10
hs-php-session,5
hsshellscript,13
hstatsd,1
HStringTemplate,35
HSvm,4
HsYAML,8
hsyslog,12
htaglib,10
HTF,58
html,3
html-conduit,25
html-email-validate,2
html-entities,15
html-entity-map,2
htoml,10
HTTP,63
http2,44
http-api-data,26
http-client,115
http-client-tls,24
http-common,5
http-conduit,138
http-date,10
http-directory,9
http-download,3
httpd-shed,8
http-link-header,7
http-media,18
http-reverse-proxy,43
http-streams,31
http-types,45
human-readable-duration,11
HUnit,20
HUnit-approx,4
hunit-dejafu,32
hvect,5
