bzlib-conduit,11, at Tue Aug  6 10:51:55 UTC 2019,7885 total (454 in the last 30 days)
c2hs,29, at Wed Sep 26 01:42:00 UTC 2018,41599 total (1522 in the last 30 days)
Cabal,59, at Fri Aug  9 02:08:14 UTC 2019,281529 total (3634 in the last 30 days)
cabal2nix,109, at Tue Sep 24 16:06:51 UTC 2019,62823 total (3101 in the last 30 days)
cabal2spec,15, at Tue Jan 28 11:09:35 UTC 2020,3949 total (354 in the last 30 days)
cabal-doctest,8, at Wed Oct  2 12:17:08 UTC 2019,63336 total (847 in the last 30 days)
cabal-file-th,6, at Fri Jan 11 05:06:05 UTC 2019,5528 total (165 in the last 30 days)
cabal-install,55, at Tue Aug 27 07:37:37 UTC 2019,213626 total (2945 in the last 30 days)
cabal-rpm,69, at Thu Feb 27 04:05:41 UTC 2020,39493 total (3096 in the last 30 days)
cache,6, at Mon Dec  9 18:49:33 UTC 2019,2764 total (296 in the last 30 days)
cacophony,13, at Mon Oct 29 23:41:59 UTC 2018,5652 total (207 in the last 30 days)
calendar-recycling,1, at Fri Aug 31 15:38:01 UTC 2018,1117 total (89 in the last 30 days)
call-stack,1, at Sun Aug  4 01:45:35 UTC 2019,74833 total (587 in the last 30 days)
ca-province-codes,0, at Mon Jan 28 13:32:28 UTC 2019,370 total (46 in the last 30 days)
carray,17, at Tue Jul 18 18:37:17 UTC 2017,12556 total (548 in the last 30 days)
cased,0, at Mon Jun 15 20:29:25 UTC 2015,989 total (37 in the last 30 days)
case-insensitive,30, at Sun May  5 04:35:05 UTC 2019,207316 total (1548 in the last 30 days)
cases,6, at Wed Feb  8 08:12:03 UTC 2017,5019 total (265 in the last 30 days)
casing,8, at Thu Sep  5 09:35:09 UTC 2019,4360 total (368 in the last 30 days)
cassava,23, at Sun Sep  1 12:31:48 UTC 2019,47740 total (1434 in the last 30 days)
cassava-conduit,16, at Fri Nov 30 00:50:57 UTC 2018,8359 total (717 in the last 30 days)
cassava-megaparsec,3, at Mon Nov 11 16:03:51 UTC 2019,3064 total (180 in the last 30 days)
cassava-records,4, at Tue Jan 23 17:03:05 UTC 2018,1887 total (193 in the last 30 days)
cast,2, at Mon Jul 31 09:19:10 UTC 2017,1688 total (136 in the last 30 days)
caster,3, at Mon May  6 08:06:53 UTC 2019,928 total (121 in the last 30 days)
category,13, at Tue Dec 24 16:53:33 UTC 2019,4431 total (357 in the last 30 days)
cayley-client,28, at Sun Feb 23 17:04:10 UTC 2020,12790 total (1103 in the last 30 days)
cborg,4, at Mon Dec 30 00:27:03 UTC 2019,7323 total (428 in the last 30 days)
cborg-json,3, at Mon Dec 30 00:36:39 UTC 2019,2800 total (295 in the last 30 days)
cereal,22, at Fri May 31 15:45:08 UTC 2019,251757 total (1373 in the last 30 days)
cereal-conduit,18, at Thu Feb  1 12:34:46 UTC 2018,17371 total (653 in the last 30 days)
cereal-text,2, at Wed Jun  1 22:09:27 UTC 2016,5603 total (198 in the last 30 days)
cereal-time,0, at Mon Nov  6 18:11:44 UTC 2017,923 total (39 in the last 30 days)
cereal-vector,2, at Sun Feb 16 21:55:46 UTC 2014,9514 total (199 in the last 30 days)
cfenv,0, at Mon Jun 25 18:59:31 UTC 2018,557 total (50 in the last 30 days)
cgi,33, at Mon Oct  7 18:21:30 UTC 2019,33875 total (760 in the last 30 days)
chan,5, at Tue Dec  4 17:24:20 UTC 2018,2463 total (232 in the last 30 days)
ChannelT,7, at Sun Jan 28 22:01:53 UTC 2018,3218 total (250 in the last 30 days)
charset,20, at Wed Apr  1 17:10:45 UTC 2015,52399 total (962 in the last 30 days)
charsetdetect-ae,6, at Fri May 25 20:19:58 UTC 2018,7166 total (252 in the last 30 days)
Chart,42, at Sun Jan 19 09:15:55 UTC 2020,40034 total (1952 in the last 30 days)
Chart-diagrams,24, at Sun Jan 19 09:17:23 UTC 2020,21464 total (1229 in the last 30 days)
chaselev-deque,5, at Sun Mar  8 15:50:54 UTC 2015,5895 total (293 in the last 30 days)
cheapskate,8, at Fri Jan 24 18:26:05 UTC 2020,30979 total (468 in the last 30 days)
cheapskate-highlight,0, at Mon Mar 14 23:36:48 UTC 2016,941 total (40 in the last 30 days)
cheapskate-lucid,0, at Tue Mar 15 11:10:07 UTC 2016,949 total (48 in the last 30 days)
check-email,2, at Wed Mar  1 12:05:32 UTC 2017,2336 total (85 in the last 30 days)
checkers,38, at Fri Mar  6 17:54:51 UTC 2020,25140 total (1506 in the last 30 days)
checksum,0, at Mon Apr 16 18:41:55 UTC 2018,530 total (36 in the last 30 days)
chimera,1, at Tue Dec 31 01:20:01 UTC 2019,542 total (93 in the last 30 days)
chiphunk,6, at Wed Oct 30 05:39:49 UTC 2019,1751 total (255 in the last 30 days)
choice,4, at Wed Aug 16 19:45:03 UTC 2017,3295 total (175 in the last 30 days)
chronologique,3, at Tue May  1 12:56:49 UTC 2018,1815 total (135 in the last 30 days)
chronos,14, at Fri Nov 29 03:59:08 UTC 2019,6142 total (478 in the last 30 days)
chronos-bench,3, at Sun Mar 10 17:03:39 UTC 2019,889 total (145 in the last 30 days)
chunked-data,4, at Mon Jan 15 18:11:33 UTC 2018,19868 total (339 in the last 30 days)
cipher-aes,20, at Sun Jun 21 12:13:54 UTC 2015,122567 total (1056 in the last 30 days)
cipher-aes128,24, at Sat Jan  4 19:55:52 UTC 2020,20003 total (812 in the last 30 days)
cipher-blowfish,2, at Tue Oct  8 03:32:46 UTC 2013,5735 total (161 in the last 30 days)
cipher-camellia,1, at Tue Oct  8 03:31:46 UTC 2013,5043 total (118 in the last 30 days)
cipher-des,5, at Thu Oct 24 06:44:38 UTC 2013,53904 total (290 in the last 30 days)
cipher-rc4,4, at Tue Oct  8 03:40:53 UTC 2013,91001 total (273 in the last 30 days)
circle-packing,6, at Tue Jun 20 23:36:16 UTC 2017,13338 total (262 in the last 30 days)
cisco-spark-api,4, at Mon Dec 24 22:45:06 UTC 2018,1950 total (136 in the last 30 days)
classyplate,8, at Wed Nov 14 15:04:53 UTC 2018,4023 total (235 in the last 30 days)
classy-prelude,67, at Mon Oct  8 14:22:13 UTC 2018,55515 total (2054 in the last 30 days)
classy-prelude-conduit,47, at Mon Oct  8 14:22:36 UTC 2018,33973 total (1493 in the last 30 days)
classy-prelude-yesod,42, at Mon Oct  8 14:22:36 UTC 2018,27988 total (1577 in the last 30 days)
clay,25, at Tue Nov 26 21:28:27 UTC 2019,18799 total (796 in the last 30 days)
clientsession,41, at Thu Jul  7 15:34:43 UTC 2016,73899 total (1333 in the last 30 days)
Clipboard,11, at Thu Jul  6 13:22:11 UTC 2017,8055 total (311 in the last 30 days)
clock,24, at Tue Apr 30 07:15:32 UTC 2019,104182 total (1201 in the last 30 days)
clock-extras,2, at Wed Oct  5 04:42:16 UTC 2016,1530 total (90 in the last 30 days)
closed,2, at Thu Jan  3 01:00:18 UTC 2019,1235 total (106 in the last 30 days)
clr-host,3, at Mon Oct  1 14:31:53 UTC 2018,2147 total (152 in the last 30 days)
clr-marshal,1, at Sat Aug  5 09:02:46 UTC 2017,1302 total (81 in the last 30 days)
clumpiness,2, at Mon Jan 21 02:31:55 UTC 2019,1404 total (120 in the last 30 days)
cmark,28, at Mon Apr  8 22:41:04 UTC 2019,30889 total (1029 in the last 30 days)
cmark-gfm,10, at Fri Nov 15 06:03:49 UTC 2019,17527 total (809 in the last 30 days)
cmdargs,46, at Mon Jan 22 18:47:32 UTC 2018,205353 total (1951 in the last 30 days)
codec,3, at Fri Apr 21 18:46:02 UTC 2017,2599 total (112 in the last 30 days)
codec-beam,2, at Fri Jul  6 14:31:09 UTC 2018,1217 total (129 in the last 30 days)
codec-rpm,6, at Thu May 24 13:46:52 UTC 2018,3732 total (258 in the last 30 days)
code-page,4, at Tue Nov 13 19:42:18 UTC 2018,29389 total (388 in the last 30 days)
codo-notation,1, at Thu Nov 22 20:04:19 UTC 2012,1830 total (62 in the last 30 days)
coercible-utils,1, at Tue Sep 10 12:35:02 UTC 2019,822 total (108 in the last 30 days)
co-log,4, at Sun Jan 19 17:37:24 UTC 2020,1319 total (154 in the last 30 days)
co-log-core,4, at Sun Jan 19 17:34:56 UTC 2020,1287 total (173 in the last 30 days)
colonnade,14, at Sun May 19 16:34:15 UTC 2019,6836 total (382 in the last 30 days)
colorful-monoids,6, at Mon Aug 13 21:28:35 UTC 2018,3231 total (212 in the last 30 days)
colorize-haskell,1, at Sat Jul 24 00:04:40 UTC 2010,3560 total (70 in the last 30 days)
colour,12, at Sun May  5 00:30:53 UTC 2019,102460 total (897 in the last 30 days)
columnar,0, at Sun Jul 28 23:20:55 UTC 2019,247 total (48 in the last 30 days)
combinatorial,2, at Fri Aug 31 15:57:26 UTC 2018,1431 total (151 in the last 30 days)
comfort-array,10, at Thu May 23 20:30:55 UTC 2019,2920 total (266 in the last 30 days)
comfort-graph,8, at Fri Aug 31 16:11:18 UTC 2018,4357 total (349 in the last 30 days)
commutative,6, at Tue Nov 20 21:29:36 UTC 2018,3149 total (137 in the last 30 days)
comonad,54, at Tue Nov 26 13:13:37 UTC 2019,239014 total (2180 in the last 30 days)
compact,1, at Tue Feb 28 06:48:02 UTC 2017,1483 total (106 in the last 30 days)
compactmap,6, at Fri Jul 28 08:57:33 UTC 2017,4285 total (317 in the last 30 days)
compensated,15, at Wed Jan 29 15:22:30 UTC 2020,8823 total (520 in the last 30 days)
compiler-warnings,0, at Sun Oct 16 16:01:16 UTC 2016,836 total (56 in the last 30 days)
composable-associations,0, at Mon Jul 24 03:00:04 UTC 2017,830 total (59 in the last 30 days)
composable-associations-aeson,0, at Mon Jul 24 03:04:47 UTC 2017,791 total (54 in the last 30 days)
composition,8, at Thu Dec 31 19:21:19 UTC 2015,7552 total (331 in the last 30 days)
composition-extra,11, at Thu Sep 17 22:22:04 UTC 2015,5515 total (143 in the last 30 days)
concise,1, at Sun Feb  4 03:38:29 UTC 2018,2780 total (169 in the last 30 days)
concurrency,22, at Wed Feb 26 16:22:06 UTC 2020,9662 total (1025 in the last 30 days)
concurrent-extra,22, at Wed Mar 14 20:19:31 UTC 2018,23232 total (770 in the last 30 days)
concurrent-output,34, at Sun Oct  6 19:15:08 UTC 2019,24241 total (1294 in the last 30 days)
concurrent-split,4, at Mon Oct 22 11:41:29 UTC 2018,3115 total (162 in the last 30 days)
concurrent-supply,8, at Sun Jan 17 00:33:44 UTC 2016,8563 total (315 in the last 30 days)
cond,10, at Sun Nov 23 16:29:17 UTC 2014,11211 total (385 in the last 30 days)
conduit,121, at Mon Dec 16 05:41:27 UTC 2019,338498 total (4903 in the last 30 days)
conduit-algorithms,16, at Thu Sep 19 14:42:45 UTC 2019,6143 total (435 in the last 30 days)
conduit-combinators,43, at Thu Feb  1 22:05:04 UTC 2018,42076 total (1545 in the last 30 days)
conduit-concurrent-map,1, at Fri Aug 31 21:10:25 UTC 2018,813 total (93 in the last 30 days)
conduit-extra,63, at Wed Jul  3 08:07:40 UTC 2019,156066 total (2307 in the last 30 days)
conduit-iconv,4, at Wed Feb  7 09:20:17 UTC 2018,3012 total (203 in the last 30 days)
conduit-parse,7, at Thu Mar 15 19:43:07 UTC 2018,4704 total (268 in the last 30 days)
conduit-throttle,3, at Thu Dec 21 22:34:42 UTC 2017,2006 total (123 in the last 30 days)
conduit-zstd,1, at Mon Sep 24 11:12:38 UTC 2018,933 total (114 in the last 30 days)
config-ini,10, at Wed Nov 14 08:09:09 UTC 2018,9639 total (501 in the last 30 days)
configuration-tools,20, at Sat Jan 25 23:17:32 UTC 2020,12839 total (832 in the last 30 days)
configurator,6, at Wed Jul  2 20:39:22 UTC 2014,25774 total (291 in the last 30 days)
configurator-export,1, at Sun May  8 01:28:43 UTC 2016,1346 total (70 in the last 30 days)
configurator-pg,6, at Sun Mar  8 19:23:36 UTC 2020,1070 total (244 in the last 30 days)
connection,15, at Mon Sep  2 04:33:58 UTC 2019,142708 total (1017 in the last 30 days)
connection-pool,7, at Sat Mar  3 00:29:44 UTC 2018,5368 total (259 in the last 30 days)
console-style,3, at Sat Dec  3 00:00:24 UTC 2016,2133 total (100 in the last 30 days)
constraint,7, at Mon Nov 18 19:12:16 UTC 2019,3057 total (300 in the last 30 days)
constraints,25, at Mon Feb  3 12:52:31 UTC 2020,49036 total (1489 in the last 30 days)
containers,34, at Mon Jun 24 07:20:55 UTC 2019,81359 total (1582 in the last 30 days)
contravariant,36, at Mon Jun  3 12:26:55 UTC 2019,220456 total (1525 in the last 30 days)
contravariant-extras,8, at Sat Dec 28 13:16:49 UTC 2019,6371 total (335 in the last 30 days)
control-bool,2, at Sun Dec  8 01:37:28 UTC 2013,3426 total (115 in the last 30 days)
control-dsl,6, at Thu Oct 18 15:35:19 UTC 2018,2083 total (215 in the last 30 days)
control-monad-free,11, at Sat Oct  6 18:48:35 UTC 2018,10733 total (519 in the last 30 days)
control-monad-omega,4, at Tue Sep 17 19:31:24 UTC 2019,5221 total (200 in the last 30 days)
convertible,13, at Mon Apr 20 09:21:20 UTC 2015,45200 total (512 in the last 30 days)
cookie,20, at Sun Nov 10 15:02:37 UTC 2019,169276 total (1240 in the last 30 days)
core-data,5, at Thu Jan 23 12:48:29 UTC 2020,935 total (214 in the last 30 days)
core-text,6, at Thu Jan 23 12:48:27 UTC 2020,983 total (210 in the last 30 days)
countable,2, at Wed Jun 22 05:14:01 UTC 2016,2384 total (114 in the last 30 days)
country,7, at Sun Nov  3 19:51:58 UTC 2019,3423 total (272 in the last 30 days)
courier,20, at Fri May  5 04:44:11 UTC 2017,13106 total (614 in the last 30 days)
cpio-conduit,0, at Tue Aug  4 16:39:58 UTC 2015,1526 total (45 in the last 30 days)
cpphs,42, at Tue Feb 25 15:51:00 UTC 2020,208698 total (2146 in the last 30 days)
cprng-aes,17, at Thu Nov 13 11:27:54 UTC 2014,110415 total (713 in the last 30 days)
cpu,2, at Tue Nov 12 05:32:53 UTC 2013,11773 total (183 in the last 30 days)
cpuinfo,1, at Fri Sep 16 19:40:55 UTC 2016,1221 total (94 in the last 30 days)
cql,11, at Sun Nov 10 14:26:38 UTC 2019,6966 total (486 in the last 30 days)
