rio-orphans,1, at Tue Jun 19 15:30:59 UTC 2018,1670 total (161 in the last 30 days)
rio-prettyprint,0, at Sat Jun  8 21:42:29 UTC 2019,1038 total (144 in the last 30 days)
roc-id,0, at Sat Dec  8 06:54:40 UTC 2018,443 total (70 in the last 30 days)
rocksdb-haskell,2, at Sun Dec  3 13:15:11 UTC 2017,5601 total (110 in the last 30 days)
rocksdb-query,7, at Wed Jan 15 17:11:46 UTC 2020,2063 total (223 in the last 30 days)
roles,0, at Mon Oct 16 03:11:45 UTC 2017,792 total (44 in the last 30 days)
rope-utf16-splay,2, at Mon May  6 21:34:28 UTC 2019,2089 total (230 in the last 30 days)
rosezipper,1, at Sun Jun  6 23:13:01 UTC 2010,4137 total (103 in the last 30 days)
rot13,5, at Tue Jul 11 13:21:19 UTC 2017,2867 total (144 in the last 30 days)
rpmbuild-order,3, at Thu Oct 10 08:18:16 UTC 2019,1128 total (104 in the last 30 days)
RSA,23, at Mon Oct 14 17:18:53 UTC 2019,28039 total (891 in the last 30 days)
runmemo,1, at Thu Nov 28 21:16:58 UTC 2013,1895 total (75 in the last 30 days)
rvar,3, at Sun Jun  5 10:31:07 UTC 2016,7758 total (144 in the last 30 days)
s3-signer,4, at Thu May  3 01:53:52 UTC 2018,2635 total (149 in the last 30 days)
safe,19, at Wed Dec  4 10:51:44 UTC 2019,175915 total (1344 in the last 30 days)
safecopy,37, at Wed Oct  2 23:46:19 UTC 2019,42599 total (1186 in the last 30 days)
safe-exceptions,7, at Thu Jan 18 15:32:56 UTC 2018,12141 total (526 in the last 30 days)
safe-exceptions-checked,0, at Sat Jan 28 19:42:52 UTC 2017,1119 total (65 in the last 30 days)
safe-foldable,0, at Wed Jun  6 22:14:25 UTC 2018,552 total (32 in the last 30 days)
safeio,4, at Thu Jan 18 09:09:46 UTC 2018,2434 total (186 in the last 30 days)
safe-json,2, at Thu Dec 26 22:22:02 UTC 2019,558 total (113 in the last 30 days)
safe-money,11, at Mon Jul  1 10:08:44 UTC 2019,4373 total (394 in the last 30 days)
SafeSemaphore,7, at Sat May  3 15:55:47 UTC 2014,29145 total (356 in the last 30 days)
salak,38, at Thu Aug 29 05:26:31 UTC 2019,6157 total (670 in the last 30 days)
salak-toml,17, at Fri Aug 30 02:04:22 UTC 2019,2127 total (301 in the last 30 days)
salak-yaml,17, at Thu Aug 29 05:29:15 UTC 2019,2276 total (350 in the last 30 days)
saltine,10, at Sat Feb 29 11:39:53 UTC 2020,5584 total (408 in the last 30 days)
salve,16, at Fri Nov  8 16:05:28 UTC 2019,5944 total (429 in the last 30 days)
sample-frame,2, at Fri Mar 14 10:36:04 UTC 2014,2719 total (69 in the last 30 days)
sample-frame-np,6, at Sat Mar 25 17:01:47 UTC 2017,4521 total (203 in the last 30 days)
sampling,5, at Mon Apr 16 23:33:46 UTC 2018,2936 total (172 in the last 30 days)
sandman,3, at Tue May 24 07:04:27 UTC 2016,2350 total (135 in the last 30 days)
say,1, at Wed Aug 15 07:56:05 UTC 2018,3450 total (174 in the last 30 days)
sbp,62, at Wed Jun 12 16:58:02 UTC 2019,26634 total (2506 in the last 30 days)
sbv,91, at Sun Feb  9 00:04:20 UTC 2020,43715 total (1072 in the last 30 days)
scalpel,17, at Sun Jan 19 06:12:34 UTC 2020,8920 total (478 in the last 30 days)
scalpel-core,3, at Sun Jan 19 06:12:33 UTC 2020,2068 total (143 in the last 30 days)
scanf,0, at Sun Mar 18 19:55:48 UTC 2018,522 total (44 in the last 30 days)
scanner,3, at Wed Sep 18 13:58:34 UTC 2019,4161 total (219 in the last 30 days)
scheduler,8, at Thu Feb  6 01:13:37 UTC 2020,2247 total (327 in the last 30 days)
scientific,46, at Mon May  7 23:42:54 UTC 2018,354740 total (1820 in the last 30 days)
scotty,33, at Sat Sep  7 15:27:01 UTC 2019,42757 total (1238 in the last 30 days)
scrypt,12, at Sat Jan 18 16:12:39 UTC 2014,11629 total (340 in the last 30 days)
sdl2,25, at Tue Feb  4 19:45:47 UTC 2020,17847 total (877 in the last 30 days)
sdl2-gfx,0, at Fri Oct 21 21:46:10 UTC 2016,802 total (43 in the last 30 days)
sdl2-image,5, at Mon Jan 16 22:32:55 UTC 2017,4437 total (203 in the last 30 days)
sdl2-mixer,1, at Mon Dec 25 04:41:52 UTC 2017,1342 total (104 in the last 30 days)
sdl2-ttf,8, at Wed Mar  4 00:06:50 UTC 2020,5462 total (366 in the last 30 days)
secp256k1-haskell,8, at Wed Jan 15 19:28:53 UTC 2020,1951 total (201 in the last 30 days)
securemem,10, at Tue Feb 27 05:39:40 UTC 2018,108640 total (501 in the last 30 days)
selda,32, at Mon Jan 20 18:37:44 UTC 2020,9415 total (224 in the last 30 days)
selda-json,1, at Sat Sep 21 12:45:03 UTC 2019,458 total (79 in the last 30 days)
selda-postgresql,15, at Mon Jan 20 18:18:54 UTC 2020,6327 total (428 in the last 30 days)
selda-sqlite,12, at Mon Jan 20 18:18:40 UTC 2020,5248 total (311 in the last 30 days)
selective,3, at Mon Feb 24 01:09:51 UTC 2020,1027 total (214 in the last 30 days)
semialign,1, at Mon Oct 21 10:45:41 UTC 2019,1383 total (240 in the last 30 days)
