﻿package,Github url
HUnit,https://github.com/hspec/HUnit#readme
hspec-wai,https://github.com/hspec/hspec-wai#readme
hspec-expectations,https://github.com/hspec/hspec-expectations#readme
hslua-module-text,https://github.com/hslua/hslua-module-text
hslua-module-system,https://github.com/hslua/hslua-module-system
amqp,https://github.com/hreinhardt/amqp
hledger-iadd,https://github.com/hpdeifel/hledger-iadd#readme
codec-beam,https://github.com/hkgumbs/codec-beam#readme
lens-regex,https://github.com/himura/lens-regex
doctest-driver-gen,https://github.com/Hexirp/doctest-driver-gen#readme
bbdb,https://github.com/henrylaxen/bbdb
hedgehog,https://github.com/hedgehogqa/haskell-hedgehog/pull/349
bower-json,https://github.com/hdgarrood/bower-json
aeson-better-errors,https://github.com/hdgarrood/aeson-better-errors
HTTP,https://github.com/haskell/HTTP
filepath,https://github.com/haskell/filepath#readme
directory,https://github.com/haskell/directory/issues/83
deepseq,https://github.com/haskell/deepseq/pull/38
c2hs,https://github.com/haskell/c2hs
bytestring,https://github.com/haskell/bytestring
base64-bytestring,https://github.com/haskell/base64-bytestring
hw-simd,https://github.com/haskell-works/hw-simd#readme
hw-json-simd,https://github.com/haskell-works/hw-json-simd#readme
hw-ip,https://github.com/haskell-works/hw-ip#readme
hw-hspec-hedgehog,https://github.com/haskell-works/hw-hspec-hedgehog#readme
hw-hedgehog,https://github.com/haskell-works/hw-hedgehog#readme
hw-fingertree,https://github.com/haskell-works/hw-fingertree#readme
hw-fingertree-strict,https://github.com/haskell-works/hw-fingertree-strict#readme
hw-dsv,https://github.com/haskell-works/hw-dsv#readme
hw-conduit-merges,https://github.com/haskell-works/hw-conduit-merges#readme
bits-extra,https://github.com/haskell-works/bits-extra#readme
avro,https://github.com/haskell-works/avro#readme
haskell-src-exts,https://github.com/haskell-suite/haskell-src-exts
haskell-names,https://github.com/haskell-suite/haskell-names
cast,https://github.com/haskell-patterns/cast#readme
ALUT,https://github.com/haskell-openal/ALUT
hint,https://github.com/haskell-hint/hint
haskey-btree,https://github.com/haskell-haskey/haskey-btree
haskell-gi,https://github.com/haskell-gi/haskell-gi
gi-gtk-hs,https://github.com/haskell-gi/gi-gtk-hs
fsnotify,https://github.com/haskell-fswatch/hfsnotify
foundation,https://github.com/haskell-foundation/foundation
cryptonite-openssl,https://github.com/haskell-crypto/cryptonite-openssl
cryptonite-conduit,https://github.com/haskell-crypto/cryptonite-conduit
cryptonite,https://github.com/haskell-crypto/cryptonite
deriving-compat,https://github.com/haskell-compat/deriving-compat
base-orphans,https://github.com/haskell-compat/base-orphans#readme
base-compat,https://github.com/haskell-compat/base-compat/issues/17
dlist-instances,https://github.com/gregwebs/dlist-instances
HUnit-approx,https://github.com/goldfirere/HUnit-approx
kdt,https://github.com/giogadi/kdt
cereal,https://github.com/GaloisInc/cereal
bench,https://github.com/Gabriel439/bench
fused-effects,https://github.com/fused-effects/fused-effects
drinkery,https://github.com/fumieval/drinkery#readme
control-bool,https://github.com/fumieval/control-bool
boundingboxes,https://github.com/fumieval/boundingboxes
hoauth2,https://github.com/freizl/hoauth2
concise,https://github.com/frasertweedale/hs-concise
Ebnf2ps,https://github.com/FranklinChen/Ebnf2ps
inline-c,https://github.com/fpco/inline-c-nag
http-reverse-proxy,https://github.com/fpco/http-reverse-proxy
fuzzcheck,https://github.com/fpco/fuzzcheck
fsnotify-conduit,https://github.com/fpco/fsnotify-conduit#readme
conduit-combinators,https://github.com/fpco/conduit-combinators/pull/19
hashmap,https://github.com/foxik/hashmap
kanji,https://github.com/fosskers/kanji
aur,https://github.com/fosskers/aura
immortal,https://github.com/feuerbach/immortal
data-lens-light,https://github.com/feuerbach/data-lens-light
ansi-terminal,https://github.com/feuerbach/ansi-terminal
gpolyline,https://github.com/fegu/gpolyline
graph-core,https://github.com/factisresearch/graph-core
language-javascript,https://github.com/erikd/language-javascript
app-settings,https://github.com/emmanueltouzery/app-settings
hs-php-session,https://github.com/elblake/hs-php-session
expiring-cache-map,https://github.com/elblake/expiring-cache-map
integration,https://github.com/ekmett/integration
bytes,https://github.com/ekmett/bytes
HandsomeSoup,https://github.com/egonSchiele/HandsomeSoup
generic-deriving,https://github.com/dreixel/generic-deriving
hvega,https://github.com/DougBurke/hvega
dvorak,https://github.com/donkeybonks/codec-dvorak
cassava-conduit,https://github.com/domdere/cassava-conduit
exact-pi,https://github.com/dmcclean/exact-pi/
hsinstall,https://github.com/dino-/hsinstall#readme
ghc-lib,https://github.com/digital-asset/ghc-lib
force-layout,https://github.com/diagrams/force-layout/tree/v0.4.0.6
diagrams-svg,https://github.com/diagrams/diagrams-svg/tree/v1.4.3
diagrams-rasterific,https://github.com/diagrams/diagrams-rasterific/tree/v1.4.2
diagrams-lib,https://github.com/diagrams/diagrams-lib/tree/v1.4.3
diagrams-core,https://github.com/diagrams/diagrams-core/tree/v1.4.2
diagrams-contrib,https://github.com/diagrams/diagrams-contrib/tree/v1.3.0.4
dhall,https://github.com/dhall-lang/dhall-lang/releases/tag/v8.0.0
dhall-json,https://github.com/dhall-lang/dhall-json/pull/61
blaze-svg,https://github.com/deepakjois/blaze-svg
hspec-need-env,https://github.com/debug-ito/hspec-need-env
greskell,https://github.com/debug-ito/greskell/
fold-debounce-conduit,https://github.com/debug-ito/fold-debounce-conduit
fold-debounce,https://github.com/debug-ito/fold-debounce
